"Value Type Source";"Source Month";"Value Type Target";"Target Month"
"MTD";"1";"MTD";"1"
"MTD";"1";"YTD";"1"
"MTD";"1";"YTD";"2"
"MTD";"1";"YTD";"3"
"MTD";"1";"YTD";"4"
"MTD";"1";"YTD";"5"
"MTD";"1";"YTD";"6"
"MTD";"1";"YTD";"7"
"MTD";"1";"YTD";"8"
"MTD";"1";"YTD";"9"
"MTD";"1";"YTD";"10"
"MTD";"1";"YTD";"11"
"MTD";"1";"YTD";"12"
"MTD";"1";"QTD";"1"
"MTD";"1";"QTD";"2"
"MTD";"1";"QTD";"3"
"MTD";"2";"MTD";"2"
"MTD";"2";"YTD";"2"
"MTD";"2";"YTD";"3"
"MTD";"2";"YTD";"4"
"MTD";"2";"YTD";"5"
"MTD";"2";"YTD";"6"
"MTD";"2";"YTD";"7"
"MTD";"2";"YTD";"8"
"MTD";"2";"YTD";"9"
"MTD";"2";"YTD";"10"
"MTD";"2";"YTD";"11"
"MTD";"2";"YTD";"12"
"MTD";"2";"QTD";"2"
"MTD";"2";"QTD";"3"
"MTD";"3";"MTD";"3"
"MTD";"3";"YTD";"3"
"MTD";"3";"YTD";"4"
"MTD";"3";"YTD";"5"
"MTD";"3";"YTD";"6"
"MTD";"3";"YTD";"7"
"MTD";"3";"YTD";"8"
"MTD";"3";"YTD";"9"
"MTD";"3";"YTD";"10"
"MTD";"3";"YTD";"11"
"MTD";"3";"YTD";"12"
"MTD";"3";"QTD";"3"
"MTD";"4";"MTD";"4"
"MTD";"4";"YTD";"4"
"MTD";"4";"YTD";"5"
"MTD";"4";"YTD";"6"
"MTD";"4";"YTD";"7"
"MTD";"4";"YTD";"8"
"MTD";"4";"YTD";"9"
"MTD";"4";"YTD";"10"
"MTD";"4";"YTD";"11"
"MTD";"4";"YTD";"12"
"MTD";"4";"QTD";"4"
"MTD";"4";"QTD";"5"
"MTD";"4";"QTD";"6"
"MTD";"5";"MTD";"5"
"MTD";"5";"YTD";"5"
"MTD";"5";"YTD";"6"
"MTD";"5";"YTD";"7"
"MTD";"5";"YTD";"8"
"MTD";"5";"YTD";"9"
"MTD";"5";"YTD";"10"
"MTD";"5";"YTD";"11"
"MTD";"5";"YTD";"12"
"MTD";"5";"QTD";"5"
"MTD";"5";"QTD";"6"
"MTD";"6";"MTD";"6"
"MTD";"6";"YTD";"6"
"MTD";"6";"YTD";"7"
"MTD";"6";"YTD";"8"
"MTD";"6";"YTD";"9"
"MTD";"6";"YTD";"10"
"MTD";"6";"YTD";"11"
"MTD";"6";"YTD";"12"
"MTD";"6";"QTD";"6"
"MTD";"7";"MTD";"7"
"MTD";"7";"YTD";"7"
"MTD";"7";"YTD";"8"
"MTD";"7";"YTD";"9"
"MTD";"7";"YTD";"10"
"MTD";"7";"YTD";"11"
"MTD";"7";"YTD";"12"
"MTD";"7";"QTD";"7"
"MTD";"7";"QTD";"8"
"MTD";"7";"QTD";"9"
"MTD";"8";"MTD";"8"
"MTD";"8";"YTD";"8"
"MTD";"8";"YTD";"9"
"MTD";"8";"YTD";"10"
"MTD";"8";"YTD";"11"
"MTD";"8";"YTD";"12"
"MTD";"8";"QTD";"8"
"MTD";"8";"QTD";"9"
"MTD";"9";"MTD";"9"
"MTD";"9";"YTD";"9"
"MTD";"9";"YTD";"10"
"MTD";"9";"YTD";"11"
"MTD";"9";"YTD";"12"
"MTD";"9";"QTD";"9"
"MTD";"10";"MTD";"10"
"MTD";"10";"YTD";"10"
"MTD";"10";"YTD";"11"
"MTD";"10";"YTD";"12"
"MTD";"10";"QTD";"10"
"MTD";"10";"QTD";"11"
"MTD";"10";"QTD";"12"
"MTD";"11";"MTD";"11"
"MTD";"11";"YTD";"11"
"MTD";"11";"YTD";"12"
"MTD";"11";"QTD";"11"
"MTD";"11";"QTD";"12"
"MTD";"12";"MTD";"12"
"MTD";"12";"YTD";"12"
"MTD";"12";"QTD";"12"